sample,substrate,replicate,std,temperature,interval,RFU,time
L30-1,leu-AMC,1,FALSE,30,5,24256.15,16:06
L30-1,leu-AMC,1,FALSE,30,15,24340.43,16:22
L30-1,leu-AMC,1,FALSE,30,30,24348.61,16:37
L30-1,leu-AMC,1,FALSE,30,45,24418.84,16:52
L30-1,leu-AMC,1,FALSE,30,60,24548.51,17:07
L30-2,leu-AMC,2,FALSE,30,5,24190.43,16:07
L30-2,leu-AMC,2,FALSE,30,15,24309.1,16:22
L30-2,leu-AMC,2,FALSE,30,30,24337.42,16:38
L30-2,leu-AMC,2,FALSE,30,45,24383.49,16:52
L30-2,leu-AMC,2,FALSE,30,60,24538.18,17:07
L30-3,leu-AMC,3,FALSE,30,5,25673.42,16:08
L30-3,leu-AMC,3,FALSE,30,15,26037.88,16:23
L30-3,leu-AMC,3,FALSE,30,30,25927.71,16:38
L30-3,leu-AMC,3,FALSE,30,45,25997,16:52
L30-3,leu-AMC,3,FALSE,30,60,26138.4,17:07
G30-1,MUB-b-glu,1,FALSE,30,5,2533.67,16:07
G30-1,MUB-b-glu,1,FALSE,30,15,2524.26,16:23
G30-1,MUB-b-glu,1,FALSE,30,30,2514.32,16:38
G30-1,MUB-b-glu,1,FALSE,30,45,2506.06,16:53
G30-1,MUB-b-glu,1,FALSE,30,60,2501.4,17:08
G30-2,MUB-b-glu,2,FALSE,30,5,2582.26,16:08
G30-2,MUB-b-glu,2,FALSE,30,15,2578.98,16:23
G30-2,MUB-b-glu,2,FALSE,30,30,2569.44,16:39
G30-2,MUB-b-glu,2,FALSE,30,45,2547.89,16:53
G30-2,MUB-b-glu,2,FALSE,30,60,2545.89,17:08
G30-3,MUB-b-glu,3,FALSE,30,5,2545.37,16:08
G30-3,MUB-b-glu,3,FALSE,30,15,2539.28,16:24
G30-3,MUB-b-glu,3,FALSE,30,30,2533.59,16:39
G30-3,MUB-b-glu,3,FALSE,30,45,2523.58,16:53
G30-3,MUB-b-glu,3,FALSE,30,60,2525.8,17:08
B30,buffer,1,TRUE,30,5,1407.23,16:08
B30,buffer,1,TRUE,30,15,1397.96,16:24
B30,buffer,1,TRUE,30,30,1383.92,16:39
B30,buffer,1,TRUE,30,45,1376.19,16:54
B30,buffer,1,TRUE,30,60,1349.15,17:09
B30-AMC,standard-AMC,1,TRUE,30,5,2127067.25,16:09
B30-AMC,standard-AMC,1,TRUE,30,15,2123473.25,16:24
B30-AMC,standard-AMC,1,TRUE,30,30,2069593,16:40
B30-AMC,standard-AMC,1,TRUE,30,45,2146175.74,16:54
