sample,concentration (mM),temperature,RFU,time
AMC,0.05,30,28093.02,15:15
AMC,0.1,30,222845.14,15:15
AMC,0.15,30,312536.71,15:15
AMC,0.2,30,274257.5,15:16
AMC,0.3,30,690520.56,15:16
AMC,0.05,50,29058.24,15:31
AMC,0.1,50,239309.2,15:31
AMC,0.15,50,322040.21,15:32
AMC,0.2,50,296730.84,15:32
AMC,0.3,50,752139,15:32
AMC,0.05,70,28189.06,16:09
AMC,0.1,70,238132.26,16:09
AMC,0.15,70,337377.43,16:10
AMC,0.2,70,300887.46,16:10
AMC,0.3,70,796245.56,16:10
AMC,0.05,80,28863.62,16:27
AMC,0.1,80,242629.87,16:28
AMC,0.15,80,327038.12,16:28
AMC,0.2,80,296891,16:28
AMC,0.3,80,793113.12,16:29
MUB,0.05,30,15491.77,15:28
MUB,0.1,30,22193.11,15:28
MUB,0.15,30,42724.77,15:28
MUB,0.2,30,58820.25,15:29
MUB,0.3,30,77993.45,15:29
MUB,0.05,50,31181.67,14:58
MUB,0.1,50,42525.71,14:58
MUB,0.15,50,99517.35,14:58
MUB,0.2,50,112849.89,14:59
MUB,0.3,50,139046.84,14:49
MUB,0.05,70,43550.25,15:10
MUB,0.1,70,58435.08,15:10
MUB,0.15,70,83363.39,15:11
MUB,0.2,70,145814.96,15:11
MUB,0.3,70,172471.29,15:11
MUB,0.05,80,50730.17,15:16
MUB,0.1,80,50500.49,15:16
MUB,0.15,80,112160.86,15:17
MUB,0.2,80,126320.81,15:17
MUB,0.3,80,212648.42,15:17
