Site,Substrate,Cuvette,Filter type,Filter weight,RFU,Time,Interval
Los Pozos Thermales (warm),Leucine-AMC,1,Live,0.0047,4755.27,15:17,0
Los Pozos Thermales (warm),Leucine-AMC,1,Live,0.0047,6657.7,15:37,20
Los Pozos Thermales (warm),Leucine-AMC,1,Live,0.0047,7708.17,15:59,40
Los Pozos Thermales (warm),Leucine-AMC,1,Live,0.0047,7809.8,16:18,60
Los Pozos Thermales (warm),Leucine-AMC,1,Live,0.0047,8028.58,16:39,80
Los Pozos Thermales (warm),Leucine-AMC,1,Live,0.0047,8274.79,17:00,100
Los Pozos Thermales (warm),Leucine-AMC,1,Live,0.0047,8411.45,17:20,120
Los Pozos Thermales (warm),Leucine-AMC,2,Live,0.0062,2601.68,15:17,0
Los Pozos Thermales (warm),Leucine-AMC,2,Live,0.0062,3091.59,15:38,20
Los Pozos Thermales (warm),Leucine-AMC,2,Live,0.0062,7558.62,15:59,40
Los Pozos Thermales (warm),Leucine-AMC,2,Live,0.0062,7584.45,16:18,60
Los Pozos Thermales (warm),Leucine-AMC,2,Live,0.0062,7889.33,16:39,80
Los Pozos Thermales (warm),Leucine-AMC,2,Live,0.0062,8088.54,17:00,100
Los Pozos Thermales (warm),Leucine-AMC,2,Live,0.0062,8283.49,17:20,120
Los Pozos Thermales (warm),Leucine-AMC,3,Control,0.0023,5302.73,15:17,0
Los Pozos Thermales (warm),Leucine-AMC,3,Control,0.0023,6604.33,15:38,20
Los Pozos Thermales (warm),Leucine-AMC,3,Control,0.0023,6422.99,16:00,40
Los Pozos Thermales (warm),Leucine-AMC,3,Control,0.0023,6427.02,16:19,60
Los Pozos Thermales (warm),Leucine-AMC,3,Control,0.0023,6460.12,16:39,80
Los Pozos Thermales (warm),Leucine-AMC,3,Control,0.0023,6415.37,17:00,100
Los Pozos Thermales (warm),Leucine-AMC,3,Control,0.0023,6416.95,17:20,120
Los Pozos Thermales (warm),Arginine-AMC,1,Live,0.004,3849.93,15:17,0
Los Pozos Thermales (warm),Arginine-AMC,1,Live,0.004,4716.25,15:38,20
Los Pozos Thermales (warm),Arginine-AMC,1,Live,0.004,7615.16,16:00,40
Los Pozos Thermales (warm),Arginine-AMC,1,Live,0.004,7751.89,16:19,60
Los Pozos Thermales (warm),Arginine-AMC,1,Live,0.004,7888.33,16:40,80
Los Pozos Thermales (warm),Arginine-AMC,1,Live,0.004,7983.08,17:00,100
Los Pozos Thermales (warm),Arginine-AMC,1,Live,0.004,8100.67,17:20,120
Los Pozos Thermales (warm),Arginine-AMC,2,Live,0.0047,5940.12,15:18,0
Los Pozos Thermales (warm),Arginine-AMC,2,Live,0.0047,7553.73,15:39,20
Los Pozos Thermales (warm),Arginine-AMC,2,Live,0.0047,7532.19,16:00,40
Los Pozos Thermales (warm),Arginine-AMC,2,Live,0.0047,7640.47,16:19,60
Los Pozos Thermales (warm),Arginine-AMC,2,Live,0.0047,7762.66,16:40,80
Los Pozos Thermales (warm),Arginine-AMC,2,Live,0.0047,7878.73,17:00,100
Los Pozos Thermales (warm),Arginine-AMC,2,Live,0.0047,7992.98,17:21,120
Los Pozos Thermales (warm),Arginine-AMC,3,Control,0.0026,7048.16,16:00,40
Los Pozos Thermales (warm),Arginine-AMC,3,Control,0.0026,7281.16,16:19,60
Los Pozos Thermales (warm),Arginine-AMC,3,Control,0.0026,7325.81,16:40,80
Los Pozos Thermales (warm),Arginine-AMC,3,Control,0.0026,7408.75,17:01,100
Los Pozos Thermales (warm),Arginine-AMC,3,Control,0.0026,7447.91,17:21,120
Los Pozos Thermales (warm),MUB-Sulfate,1,Live,0.005,1472.54,15:18,0
Los Pozos Thermales (warm),MUB-Sulfate,1,Live,0.005,1942.02,15:39,20
Los Pozos Thermales (warm),MUB-Sulfate,1,Live,0.005,1884.11,16:00,40
Los Pozos Thermales (warm),MUB-Sulfate,1,Live,0.005,1856.76,16:20,60
Los Pozos Thermales (warm),MUB-Sulfate,1,Live,0.005,1829.9,16:40,80
Los Pozos Thermales (warm),MUB-Sulfate,1,Live,0.005,1808.66,17:01,100
Los Pozos Thermales (warm),MUB-Sulfate,1,Live,0.005,1789.39,17:21,120
Los Pozos Thermales (warm),MUB-Sulfate,2,Live,0.004,1541.34,15:18,0
Los Pozos Thermales (warm),MUB-Sulfate,2,Live,0.004,1919.88,15:39,20
Los Pozos Thermales (warm),MUB-Sulfate,2,Live,0.004,2036.97,16:01,40
Los Pozos Thermales (warm),MUB-Sulfate,2,Live,0.004,1996.87,16:20,60
Los Pozos Thermales (warm),MUB-Sulfate,2,Live,0.004,1987,16:40,80
Los Pozos Thermales (warm),MUB-Sulfate,2,Live,0.004,1968.56,17:01,100
Los Pozos Thermales (warm),MUB-Sulfate,2,Live,0.004,1946.54,17:21,120
Los Pozos Thermales (warm),MUB-Sulfate,3,Control,0.002,1829.92,15:40,20
Los Pozos Thermales (warm),MUB-Sulfate,3,Control,0.002,1908.39,16:01,40
Los Pozos Thermales (warm),MUB-Sulfate,3,Control,0.002,1874.59,16:20,60
Los Pozos Thermales (warm),MUB-Sulfate,3,Control,0.002,1861.04,16:41,80
Los Pozos Thermales (warm),MUB-Sulfate,3,Control,0.002,1839.57,17:01,100
Los Pozos Thermales (warm),MUB-Sulfate,3,Control,0.002,1822.5,17:22,120
Los Pozos Thermales (warm),MUB-B-Cellobioside,1,Live,0.0066,1324.78,15:19,0
Los Pozos Thermales (warm),MUB-B-Cellobioside,1,Live,0.0066,1330.11,15:40,20
Los Pozos Thermales (warm),MUB-B-Cellobioside,1,Live,0.0066,1311.4,16:01,40
Los Pozos Thermales (warm),MUB-B-Cellobioside,1,Live,0.0066,1298.78,16:20,60
Los Pozos Thermales (warm),MUB-B-Cellobioside,1,Live,0.0066,1290.66,16:41,80
Los Pozos Thermales (warm),MUB-B-Cellobioside,1,Live,0.0066,1287.42,17:01,100
Los Pozos Thermales (warm),MUB-B-Cellobioside,1,Live,0.0066,1277.54,17:22,120
Los Pozos Thermales (warm),MUB-B-Cellobioside,2,Live,0.0021,1211.07,15:19,0
Los Pozos Thermales (warm),MUB-B-Cellobioside,2,Live,0.0021,1189.22,15:40,20
Los Pozos Thermales (warm),MUB-B-Cellobioside,2,Live,0.0021,1178.93,16:01,40
Los Pozos Thermales (warm),MUB-B-Cellobioside,2,Live,0.0021,1205.19,16:21,60
Los Pozos Thermales (warm),MUB-B-Cellobioside,2,Live,0.0021,1202.76,16:41,80
Los Pozos Thermales (warm),MUB-B-Cellobioside,2,Live,0.0021,1197.82,17:01,100
Los Pozos Thermales (warm),MUB-B-Cellobioside,2,Live,0.0021,1194.84,17:22,120
Los Pozos Thermales (warm),MUB-B-Cellobioside,3,Control,0.0024,1289.49,15:19,0
Los Pozos Thermales (warm),MUB-B-Cellobioside,3,Control,0.0024,1270.03,15:41,20
Los Pozos Thermales (warm),MUB-B-Cellobioside,3,Control,0.0024,1264.26,16:02,40
Los Pozos Thermales (warm),MUB-B-Cellobioside,3,Control,0.0024,1280.73,16:21,60
Los Pozos Thermales (warm),MUB-B-Cellobioside,3,Control,0.0024,1272.5,16:42,80
Los Pozos Thermales (warm),MUB-B-Cellobioside,3,Control,0.0024,1262.34,17:02,100
Los Pozos Thermales (warm),MUB-B-Cellobioside,3,Control,0.0024,1259.39,17:23,120
Los Pozos Thermales (warm),MUB-PO4,1,Live,0.0064,1422.1,15:19,0
Los Pozos Thermales (warm),MUB-PO4,1,Live,0.0064,2906.85,15:41,20
Los Pozos Thermales (warm),MUB-PO4,1,Live,0.0064,2787.94,16:02,40
Los Pozos Thermales (warm),MUB-PO4,1,Live,0.0064,2948.16,16:21,60
